epoch,step,test_acc_auto_0,test_acc_auto_1,test_acc_auto_2,test_acc_auto_3,test_acc_auto_4,test_accuracy,train_acc_auto_0,train_acc_auto_1,train_acc_auto_2,train_acc_auto_3,train_acc_auto_4,train_accuracy,train_loss,train_loss_auto_0,train_loss_auto_1,train_loss_auto_2,train_loss_auto_3,train_loss_auto_4,val_acc_auto_0,val_acc_auto_1,val_acc_auto_2,val_acc_auto_3,val_acc_auto_4,val_accuracy,val_loss,val_loss_auto_0,val_loss_auto_1,val_loss_auto_2,val_loss_auto_3,val_loss_auto_4
0,49,,,,,,,0.4593749940395355,0.37187501788139343,0.3187499940395355,0.25,0.3343749940395355,0.34687501192092896,1.7778494358062744,1.5090405941009521,1.876651406288147,1.7957252264022827,1.8705337047576904,1.8372958898544312,,,,,,,,,,,,
0,99,,,,,,,0.559374988079071,0.40312501788139343,0.37812501192092896,0.3187499940395355,0.40312501788139343,0.4124999940395355,1.5553358793258667,1.1429078578948975,1.639622688293457,1.6063734292984009,1.780496597290039,1.607278823852539,,,,,,,,,,,,
0,149,,,,,,,0.949999988079071,0.453125,0.4375,0.3968749940395355,0.375,0.5224999785423279,1.3480923175811768,0.6666277647018433,1.4906346797943115,1.4247583150863647,1.6221506595611572,1.536289930343628,,,,,,,,,,,,
0,199,,,,,,,0.9625000357627869,0.565625011920929,0.4937500059604645,0.515625,0.4124999940395355,0.5900000333786011,1.2038829326629639,0.4752737581729889,1.3239784240722656,1.297468900680542,1.461007833480835,1.4616857767105103,,,,,,,,,,,,
0,249,,,,,,,0.987500011920929,0.5687500238418579,0.550000011920929,0.5250000357627869,0.4437499940395355,0.6150000095367432,1.1449358463287354,0.3529510796070099,1.3144028186798096,1.2194905281066895,1.4122326374053955,1.4256020784378052,,,,,,,,,,,,
0,299,,,,,,,1.0,0.6187500357627869,0.565625011920929,0.512499988079071,0.4625000059604645,0.6318750381469727,1.0073328018188477,0.2298845797777176,1.1152033805847168,1.0828418731689453,1.3290778398513794,1.2796562910079956,,,,,,,,,,,,
0,349,,,,,,,1.0,0.690625011920929,0.675000011920929,0.609375,0.543749988079071,0.7037500143051147,0.8728733062744141,0.17464736104011536,0.9096273183822632,0.9523112177848816,1.1393072605133057,1.1884732246398926,,,,,,,,,,,,
0,399,,,,,,,0.996874988079071,0.643750011920929,0.609375,0.6187500357627869,0.574999988079071,0.6887500286102295,0.8866950869560242,0.14295488595962524,0.9401535987854004,0.9858812093734741,1.1235802173614502,1.240905523300171,,,,,,,,,,,,
0,449,,,,,,,1.0,0.690625011920929,0.659375011920929,0.59375,0.609375,0.7106249928474426,0.821719765663147,0.09768149256706238,0.8796782493591309,0.9062174558639526,1.1117616891860962,1.1132599115371704,,,,,,,,,,,,
0,468,,,,,,,,,,,,,,,,,,,0.99173504114151,0.5030199885368347,0.3290450870990753,0.2332649528980255,0.23889003694057465,0.4591910243034363,1.413018822669983,0.11391696333885193,1.3270364999771118,1.7288737297058105,1.966517686843872,1.928749680519104
1,499,,,,,,,1.0,0.7093750238418579,0.7093750238418579,0.5625,0.543749988079071,0.7050000429153442,0.8178167343139648,0.07764683663845062,0.8145821690559387,0.8408293724060059,1.1673548221588135,1.18867027759552,,,,,,,,,,,,
1,549,,,,,,,1.0,0.7875000238418579,0.6937500238418579,0.6187500357627869,0.5375000238418579,0.7275000810623169,0.7749912142753601,0.06244242936372757,0.7079975008964539,0.8408383131027222,1.1151572465896606,1.148520588874817,,,,,,,,,,,,
