epoch,step,train_acc_auto_0,train_acc_auto_1,train_acc_auto_2,train_acc_auto_3,train_acc_auto_4,train_accuracy,train_loss,train_loss_auto_0,train_loss_auto_1,train_loss_auto_2,train_loss_auto_3,train_loss_auto_4,val_acc_auto_0,val_acc_auto_1,val_acc_auto_2,val_acc_auto_3,val_acc_auto_4,val_accuracy,val_loss,val_loss_auto_0,val_loss_auto_1,val_loss_auto_2,val_loss_auto_3,val_loss_auto_4
0,9,0.653124988079071,0.42500001192092896,0.43437501788139343,0.4000000059604645,0.47187501192092896,0.47687503695487976,1.0646183490753174,0.9903527498245239,1.0849336385726929,1.0795291662216187,1.0769298076629639,1.0913455486297607,,,,,,,,,,,,
0,19,0.621874988079071,0.3968749940395355,0.4375,0.41875001788139343,0.4375,0.4625000059604645,1.0306123495101929,0.8732094764709473,1.0641252994537354,1.0542269945144653,1.066957712173462,1.0945427417755127,,,,,,,,,,,,
0,29,0.59375,0.375,0.4156250059604645,0.4375,0.38750001788139343,0.44187498092651367,1.0146957635879517,0.8188744783401489,1.0536302328109741,1.060654640197754,1.0481798648834229,1.092139720916748,,,,,,,,,,,,
0,39,0.596875011920929,0.4124999940395355,0.453125,0.4468750059604645,0.48750001192092896,0.4793749749660492,0.986655056476593,0.7614428997039795,1.0178464651107788,1.0366628170013428,1.0291497707366943,1.0881729125976562,,,,,,,,,,,,
0,49,0.643750011920929,0.4625000059604645,0.45000001788139343,0.4281249940395355,0.5093750357627869,0.4987500309944153,0.95518559217453,0.6682231426239014,1.0040217638015747,1.003753900527954,1.021443247795105,1.0784860849380493,,,,,,,,,,,,
0,59,0.6812500357627869,0.565625011920929,0.4593749940395355,0.453125,0.453125,0.5225000381469727,0.9564914107322693,0.6672326326370239,0.984897792339325,1.0466479063034058,0.9986993670463562,1.0849792957305908,,,,,,,,,,,,
0,69,0.737500011920929,0.546875,0.4625000059604645,0.4937500059604645,0.45625001192092896,0.5393750071525574,0.9277433753013611,0.6142174005508423,0.9672001004219055,1.0183568000793457,0.9677441716194153,1.0711981058120728,,,,,,,,,,,,
0,79,0.731249988079071,0.565625011920929,0.5406250357627869,0.6000000238418579,0.46562501788139343,0.5806249976158142,0.8982208371162415,0.6365461349487305,0.9150444865226746,0.9592819213867188,0.9246867895126343,1.0555449724197388,,,,,,,,,,,,
0,89,0.840624988079071,0.59375,0.5375000238418579,0.5562500357627869,0.4906249940395355,0.6037499904632568,0.8842304348945618,0.5761286616325378,0.8864849805831909,0.9613513946533203,0.9417610168457031,1.0554263591766357,,,,,,,,,,,,
0,99,0.859375,0.653124988079071,0.5562500357627869,0.6187500357627869,0.48125001788139343,0.6337500810623169,0.8516375422477722,0.5290654897689819,0.8115646243095398,0.9667752385139465,0.8942714929580688,1.0565109252929688,,,,,,,,,,,,
0,109,0.875,0.6625000238418579,0.612500011920929,0.574999988079071,0.5062500238418579,0.6462500691413879,0.8152276277542114,0.452556848526001,0.7421374917030334,0.964466392993927,0.8975518345832825,1.019425630569458,,,,,,,,,,,,
0,119,0.9125000238418579,0.6781250238418579,0.5406250357627869,0.6312500238418579,0.503125011920929,0.6531250476837158,0.7932180762290955,0.4159996509552002,0.7071015238761902,0.9754346013069153,0.8621253967285156,1.0054292678833008,,,,,,,,,,,,
0,129,0.8531250357627869,0.625,0.565625011920929,0.628125011920929,0.46562501788139343,0.6274999976158142,0.8144482970237732,0.4994563162326813,0.7324172258377075,0.9737540483474731,0.8338669538497925,1.0327469110488892,,,,,,,,,,,,
0,139,0.909375011920929,0.734375,0.659375011920929,0.609375,0.5250000357627869,0.6875,0.7525462508201599,0.4300088882446289,0.6472344994544983,0.8590566515922546,0.8307463526725769,0.995684802532196,,,,,,,,,,,,
0,149,0.96875,0.6937500238418579,0.703125,0.6156250238418579,0.5093750357627869,0.6981250047683716,0.7215608954429626,0.3535958528518677,0.6231411099433899,0.8496379852294922,0.7967541217803955,0.9846752882003784,,,,,,,,,,,,
0,156,,,,,,,,,,,,,0.9824700951576233,0.791390061378479,0.4687100350856781,0.6063799858093262,0.47943997383117676,0.665678083896637,0.7238546013832092,0.2409125119447708,0.5218768119812012,0.9968085289001465,0.8160028457641602,1.043672800064087
1,159,0.965624988079071,0.7875000238418579,0.6000000238418579,0.6000000238418579,0.5375000238418579,0.6981250047683716,0.7170338034629822,0.3230542838573456,0.5401144027709961,0.8657633662223816,0.8386942744255066,1.0175426006317139,,,,,,,,,,,,
1,169,0.9750000238418579,0.831250011920929,0.574999988079071,0.6812500357627869,0.578125,0.7281250357627869,0.6915640830993652,0.2826898396015167,0.5124718546867371,0.9202559590339661,0.7679421305656433,0.9744607210159302,,,,,,,,,,,,
1,179,0.984375,0.815625011920929,0.65625,0.731249988079071,0.559374988079071,0.74937504529953,0.6545833945274353,0.24575655162334442,0.5291537046432495,0.8303613662719727,0.719371497631073,0.9482736587524414,,,,,,,,,,,,
1,189,0.9750000238418579,0.8187500238418579,0.590624988079071,0.7593750357627869,0.581250011920929,0.7450000643730164,0.6524518132209778,0.2302236109972,0.45924586057662964,0.8900240659713745,0.7192265391349792,0.9635387659072876,,,,,,,,,,,,
1,199,0.984375,0.8687500357627869,0.684374988079071,0.7593750357627869,0.543749988079071,0.768125057220459,0.6284133791923523,0.19431623816490173,0.4291384816169739,0.8254700899124146,0.7118889093399048,0.9812531471252441,,,,,,,,,,,,
1,209,0.9625000357627869,0.903124988079071,0.6187500357627869,0.7562500238418579,0.484375,0.7450000047683716,0.6311559081077576,0.2279830425977707,0.38450562953948975,0.8840152025222778,0.6811851263046265,0.9780901670455933,,,,,,,,,,,,
1,219,0.996874988079071,0.8843750357627869,0.5718750357627869,0.8062500357627869,0.5250000357627869,0.7568750381469727,0.6089780926704407,0.16670385003089905,0.3818560540676117,0.8666700124740601,0.6396762132644653,0.9899841547012329,,,,,,,,,,,,
1,229,0.96875,0.903124988079071,0.6781250238418579,0.784375011920929,0.546875,0.7762500643730164,0.5902215838432312,0.17872658371925354,0.36502379179000854,0.8197690844535828,0.6394965052604675,0.948091983795166,,,,,,,,,,,,
1,239,0.953125,0.8812500238418579,0.6656250357627869,0.762499988079071,0.5625,0.76500004529953,0.5824585556983948,0.17876751720905304,0.34592050313949585,0.832708477973938,0.6165896654129028,0.9383066296577454,,,,,,,,,,,,
1,249,0.9750000238418579,0.9000000357627869,0.668749988079071,0.7406250238418579,0.5250000357627869,0.7618750929832458,0.5766224265098572,0.14645390212535858,0.33722370862960815,0.7928653955459595,0.6464919447898865,0.960077166557312,,,,,,,,,,,,
1,259,0.996874988079071,0.925000011920929,0.684374988079071,0.793749988079071,0.515625,0.7831250429153442,0.5422680974006653,0.1199752688407898,0.3071861267089844,0.7431210875511169,0.5939936637878418,0.9470642805099487,,,,,,,,,,,,
1,269,1.0,0.9468750357627869,0.706250011920929,0.78125,0.581250011920929,0.8031250238418579,0.5256838202476501,0.09640417993068695,0.2577352225780487,0.770257830619812,0.5873839259147644,0.9166377782821655,,,,,,,,,,,,
1,279,0.996874988079071,0.887499988079071,0.75,0.8062500357627869,0.637499988079071,0.815625011920929,0.5133968591690063,0.09579155594110489,0.2890022397041321,0.7092931270599365,0.5659772157669067,0.9069201350212097,,,,,,,,,,,,
1,289,0.996874988079071,0.9468750357627869,0.7125000357627869,0.800000011920929,0.518750011920929,0.7950000166893005,0.5176877379417419,0.08621590584516525,0.2520607113838196,0.7267465591430664,0.5823248624801636,0.9410905838012695,,,,,,,,,,,,
1,299,1.0,0.934374988079071,0.7125000357627869,0.824999988079071,0.5843750238418579,0.8112500309944153,0.499462753534317,0.07457168400287628,0.2420603483915329,0.7154799103736877,0.5479573011398315,0.917244553565979,,,,,,,,,,,,
1,309,1.0,0.9468750357627869,0.715624988079071,0.828125,0.5843750238418579,0.815000057220459,0.5000240206718445,0.06858125329017639,0.2449050396680832,0.7370399236679077,0.5335265398025513,0.9160676002502441,,,,,,,,,,,,
1,313,,,,,,,,,,,,,0.9995599389076233,0.977940022945404,0.6233100295066833,0.7381201386451721,0.5031399726867676,0.7684140205383301,0.5537596940994263,0.05285774543881416,0.20420831441879272,0.8528404831886292,0.6665490865707397,0.9923427104949951
2,319,1.0,0.934374988079071,0.643750011920929,0.765625,0.643750011920929,0.7975000143051147,0.4991486966609955,0.06414759904146194,0.20346257090568542,0.7830854058265686,0.6088234186172485,0.8362245559692383,,,,,,,,,,,,
2,329,1.0,0.9625000357627869,0.671875,0.828125,0.621874988079071,0.8168749809265137,0.4722777009010315,0.058004189282655716,0.204734206199646,0.7354700565338135,0.5064688324928284,0.856711208820343,,,,,,,,,,,,
2,339,1.0,0.9437500238418579,0.7125000357627869,0.840624988079071,0.581250011920929,0.815625011920929,0.4689185321331024,0.05347372964024544,0.20089015364646912,0.6463422775268555,0.5618327260017395,0.8820536732673645,,,,,,,,,,,,
2,349,0.996874988079071,0.9437500238418579,0.668749988079071,0.800000011920929,0.65625,0.8131250739097595,0.46858200430870056,0.052024535834789276,0.19039209187030792,0.7355495691299438,0.5193095803260803,0.8456342816352844,,,,,,,,,,,,
2,359,0.996874988079071,0.9593750238418579,0.765625,0.8031250238418579,0.659375011920929,0.8368750810623169,0.4458167552947998,0.045536525547504425,0.16297374665737152,0.6617832779884338,0.5123166441917419,0.8464735150337219,,,,,,,,,,,,
2,369,0.996874988079071,0.9750000238418579,0.7406250238418579,0.8531250357627869,0.703125,0.8537500500679016,0.4142993986606598,0.047493305057287216,0.1451757848262787,0.6215517520904541,0.46607908606529236,0.7911970615386963,,,,,,,,,,,,
2,379,1.0,0.984375,0.7437500357627869,0.8687500357627869,0.65625,0.8506250381469727,0.4182802736759186,0.04131815955042839,0.15781155228614807,0.6471284627914429,0.4247688353061676,0.8203743100166321,,,,,,,,,,,,
2,389,1.0,0.9750000238418579,0.7437500357627869,0.840624988079071,0.706250011920929,0.8531250357627869,0.4240911602973938,0.03975088521838188,0.15502524375915527,0.66966712474823,0.46621471643447876,0.7897979021072388,,,,,,,,,,,,
2,399,1.0,0.9906250238418579,0.778124988079071,0.831250011920929,0.7281250357627869,0.8656250238418579,0.3959108293056488,0.03312255069613457,0.1320711076259613,0.5990661978721619,0.4611029028892517,0.7541912794113159,,,,,,,,,,,,
2,409,1.0,0.996874988079071,0.809374988079071,0.856249988079071,0.6875,0.8700000643730164,0.39098748564720154,0.030545080080628395,0.13095229864120483,0.5909448862075806,0.41466063261032104,0.787834644317627,,,,,,,,,,,,
2,419,1.0,0.987500011920929,0.8125,0.856249988079071,0.7437500357627869,0.8800000548362732,0.36741578578948975,0.030355840921401978,0.13705632090568542,0.554058849811554,0.3882206082344055,0.7273873090744019,,,,,,,,,,,,
2,429,1.0,0.981249988079071,0.7562500238418579,0.8218750357627869,0.706250011920929,0.8531250953674316,0.38084670901298523,0.02830187976360321,0.11545424163341522,0.593079686164856,0.4206484258174896,0.7467491626739502,,,,,,,,,,,,
2,439,1.0,0.987500011920929,0.8062500357627869,0.890625,0.6625000238418579,0.8693750500679016,0.35615426301956177,0.025471974164247513,0.10958311706781387,0.505531907081604,0.3430003821849823,0.7971838116645813,,,,,,,,,,,,
2,449,0.9937500357627869,0.987500011920929,0.846875011920929,0.84375,0.746874988079071,0.8837499618530273,0.3684692978858948,0.03295795992016792,0.11661884933710098,0.5070512294769287,0.44160279631614685,0.7441155910491943,,,,,,,,,,,,
2,459,1.0,0.987500011920929,0.828125,0.840624988079071,0.731249988079071,0.8774999976158142,0.35343149304389954,0.02885020337998867,0.10008455812931061,0.544409453868866,0.3932619094848633,0.7005513906478882,,,,,,,,,,,,
2,469,1.0,0.981249988079071,0.8062500357627869,0.824999988079071,0.6812500357627869,0.85875004529953,0.37850233912467957,0.028218811377882957,0.1089804396033287,0.5476595163345337,0.46680888533592224,0.7408438920974731,,,,,,,,,,,,
2,470,,,,,,,,,,,,,0.9998799562454224,0.9975199699401855,0.7002999186515808,0.7869199514389038,0.5839499235153198,0.8137139081954956,0.45447465777397156,0.020125310868024826,0.09219437092542648,0.7128657698631287,0.550067126750946,0.8971205949783325
3,479,1.0,0.9781250357627869,0.871874988079071,0.8687500357627869,0.699999988079071,0.8837500810623169,0.33467158675193787,0.02817254140973091,0.10529063642024994,0.46449875831604004,0.3663634955883026,0.7090325355529785,,,,,,,,,,,,
3,489,1.0,0.984375,0.84375,0.8687500357627869,0.7125000357627869,0.8818750381469727,0.34285855293273926,0.02410467341542244,0.10759042203426361,0.5210188627243042,0.34284162521362305,0.7187372446060181,,,,,,,,,,,,
3,499,0.9937500357627869,0.996874988079071,0.8062500357627869,0.890625,0.7718750238418579,0.8918749690055847,0.3388712704181671,0.03091472014784813,0.07789222151041031,0.5277760624885559,0.3979343771934509,0.6598390340805054,,,,,,,,,,,,
3,509,1.0,0.987500011920929,0.846875011920929,0.8968750238418579,0.762499988079071,0.8987499475479126,0.3133527934551239,0.019860979169607162,0.08885173499584198,0.4607704281806946,0.3385526239871979,0.6587282419204712,,,,,,,,,,,,
3,519,1.0,0.981249988079071,0.8187500238418579,0.875,0.7718750238418579,0.8893750309944153,0.3283521234989166,0.01936146430671215,0.09336815774440765,0.5105119347572327,0.36038094758987427,0.6581381559371948,,,,,,,,,,,,
3,529,1.0,0.984375,0.846875011920929,0.8656250238418579,0.7437500357627869,0.8881250619888306,0.3256056308746338,0.015931637957692146,0.07856011390686035,0.4685297906398773,0.37330037355422974,0.6917061805725098,,,,,,,,,,,,
3,539,1.0,1.0,0.8343750238418579,0.859375,0.768750011920929,0.8925000429153442,0.30852994322776794,0.014414194040000439,0.0672306939959526,0.47650808095932007,0.36215078830718994,0.6223459243774414,,,,,,,,,,,,
3,549,1.0,0.984375,0.8843750357627869,0.9281250238418579,0.78125,0.9156250357627869,0.28773993253707886,0.019180400297045708,0.08509477227926254,0.40618276596069336,0.27828410267829895,0.649957537651062,,,,,,,,,,,,
3,559,1.0,0.996874988079071,0.8062500357627869,0.8968750238418579,0.8125,0.9025000929832458,0.30356889963150024,0.019773058593273163,0.06587277352809906,0.47962790727615356,0.3532659113407135,0.5993047952651978,,,,,,,,,,,,
3,569,1.0,0.987500011920929,0.828125,0.890625,0.737500011920929,0.8887500166893005,0.2977343499660492,0.020010720938444138,0.06617356091737747,0.45341652631759644,0.31353896856307983,0.6355319023132324,,,,,,,,,,,,
3,579,1.0,0.987500011920929,0.8343750238418579,0.890625,0.800000011920929,0.9025000929832458,0.2829459607601166,0.012580277398228645,0.06900028884410858,0.4394097328186035,0.32345834374427795,0.5702810883522034,,,,,,,,,,,,
3,589,1.0,0.996874988079071,0.840624988079071,0.862500011920929,0.8187500238418579,0.9037500619888306,0.2851549983024597,0.011945517733693123,0.05560019612312317,0.44414013624191284,0.351364403963089,0.5627247095108032,,,,,,,,,,,,
3,599,1.0,0.996874988079071,0.859375,0.934374988079071,0.796875,0.9175000190734863,0.26248642802238464,0.011503834277391434,0.06469036638736725,0.43048301339149475,0.24777355790138245,0.5579813718795776,,,,,,,,,,,,
3,609,1.0,0.9937500357627869,0.846875011920929,0.909375011920929,0.7875000238418579,0.9074999690055847,0.27025625109672546,0.012002936564385891,0.0648217648267746,0.43579164147377014,0.2608216404914856,0.5778432488441467,,,,,,,,,,,,
3,619,1.0,0.996874988079071,0.8531250357627869,0.953125,0.8656250238418579,0.9337500929832458,0.22254930436611176,0.008564751595258713,0.055944375693798065,0.3814607560634613,0.19450750946998596,0.47226911783218384,,,,,,,,,,,,
3,627,,,,,,,,,,,,,0.9980899095535278,0.9927898645401001,0.7711299657821655,0.8226901292800903,0.6709299683570862,0.8511258959770203,0.3705846965312958,0.016949087381362915,0.07225380092859268,0.5710676908493042,0.4262419044971466,0.7664105296134949
4,629,1.0,1.0,0.90625,0.8687500357627869,0.8125,0.9175000190734863,0.27723294496536255,0.010504850186407566,0.04790346696972847,0.372875452041626,0.37861448526382446,0.5762664079666138,,,,,,,,,,,,
4,639,1.0,1.0,0.8531250357627869,0.9375,0.846875011920929,0.9275000691413879,0.24342261254787445,0.00786467082798481,0.03599509969353676,0.45440012216567993,0.21979467570781708,0.49905848503112793,,,,,,,,,,,,
4,649,1.0,0.996874988079071,0.846875011920929,0.9281250238418579,0.8218750357627869,0.918749988079071,0.22853901982307434,0.008240281604230404,0.045234955847263336,0.36852842569351196,0.20135295391082764,0.5193384885787964,,,,,,,,,,,,
4,659,1.0,0.9937500357627869,0.8812500238418579,0.921875,0.815625011920929,0.9225000739097595,0.24478526413440704,0.010683167725801468,0.055834345519542694,0.367281973361969,0.26410916447639465,0.5260177254676819,,,,,,,,,,,,
4,669,1.0,0.9937500357627869,0.909375011920929,0.9281250238418579,0.840624988079071,0.934374988079071,0.22034643590450287,0.007487011142075062,0.04814229533076286,0.34947746992111206,0.21297097206115723,0.4836544096469879,,,,,,,,,,,,
4,679,1.0,1.0,0.871874988079071,0.9156250357627869,0.8343750238418579,0.924375057220459,0.2402244657278061,0.010440593585371971,0.04442066699266434,0.36665108799934387,0.260311484336853,0.5192984342575073,,,,,,,,,,,,
4,689,1.0,0.996874988079071,0.875,0.9468750357627869,0.862500011920929,0.9362500309944153,0.2137717455625534,0.006731810513883829,0.04052676633000374,0.37271735072135925,0.18848933279514313,0.4603935182094574,,,,,,,,,,,,
4,699,1.0,0.996874988079071,0.934374988079071,0.9437500238418579,0.890625,0.953125,0.18540531396865845,0.005880263634026051,0.03152211755514145,0.29893702268600464,0.172586590051651,0.4181005358695984,,,,,,,,,,,,
4,709,1.0,1.0,0.878125011920929,0.8843750357627869,0.815625011920929,0.9156250357627869,0.23953647911548615,0.008126306347548962,0.03761008009314537,0.35867252945899963,0.2790057063102722,0.5142678022384644,,,,,,,,,,,,
4,719,1.0,0.996874988079071,0.859375,0.918749988079071,0.8531250357627869,0.9256250262260437,0.2198082059621811,0.00837917160242796,0.04130154475569725,0.37808477878570557,0.22090871632099152,0.4503668248653412,,,,,,,,,,,,
4,729,1.0,0.9906250238418579,0.893750011920929,0.956250011920929,0.8531250357627869,0.9387499690055847,0.21756397187709808,0.007735764142125845,0.05115628242492676,0.39464014768600464,0.18986479938030243,0.4444229006767273,,,,,,,,,,,,
4,739,1.0,1.0,0.903124988079071,0.953125,0.8968750238418579,0.9506250619888306,0.18532194197177887,0.007595157716423273,0.03464367240667343,0.3193015456199646,0.166863352060318,0.3982059359550476,,,,,,,,,,,,
4,749,1.0,0.9937500357627869,0.903124988079071,0.909375011920929,0.809374988079071,0.9231249690055847,0.21361160278320312,0.005042278207838535,0.03781617432832718,0.3059944212436676,0.22549958527088165,0.4937056005001068,,,,,,,,,,,,
4,759,1.0,0.996874988079071,0.925000011920929,0.9312500357627869,0.828125,0.9362500309944153,0.19873325526714325,0.00806642509996891,0.038421597331762314,0.2784911096096039,0.18314877152442932,0.4855383038520813,,,,,,,,,,,,
4,769,1.0,1.0,0.9593750238418579,0.971875011920929,0.8656250238418579,0.9593750238418579,0.16289258003234863,0.005885457620024681,0.030392641201615334,0.2599705755710602,0.1334497034549713,0.38476449251174927,,,,,,,,,,,,
4,779,1.0,1.0,0.9468750357627869,0.9593750238418579,0.90625,0.9625000357627869,0.16377870738506317,0.004863823764026165,0.03120802342891693,0.2717304825782776,0.1550668627023697,0.3560243248939514,,,,,,,,,,,,
4,784,,,,,,,,,,,,,0.9994497895240784,0.9969500303268433,0.8375699520111084,0.8570998907089233,0.7236500382423401,0.8829439282417297,0.30311834812164307,0.007561492267996073,0.0419488362967968,0.45461389422416687,0.33794283866882324,0.673524796962738
5,789,1.0,1.0,0.9375,0.940625011920929,0.846875011920929,0.9449999928474426,0.18269382417201996,0.004171804524958134,0.02312542125582695,0.28601089119911194,0.18279117345809937,0.4173698425292969,,,,,,,,,,,,
5,799,1.0,1.0,0.925000011920929,0.953125,0.8687500357627869,0.9493749737739563,0.17655853927135468,0.007298075594007969,0.04252540320158005,0.29317808151245117,0.15746155381202698,0.382329523563385,,,,,,,,,,,,
5,809,1.0,1.0,0.9437500238418579,0.9593750238418579,0.831250011920929,0.9468750357627869,0.17181193828582764,0.0040061394684016705,0.027302369475364685,0.25514915585517883,0.14534178376197815,0.42726022005081177,,,,,,,,,,,,
5,819,1.0,1.0,0.9375,0.9593750238418579,0.918749988079071,0.9631249308586121,0.1560196429491043,0.004730780143290758,0.03062722086906433,0.2925001084804535,0.13961482048034668,0.3126252591609955,,,,,,,,,,,,
5,829,1.0,1.0,0.9312500357627869,0.9125000238418579,0.8687500357627869,0.9425000548362732,0.1779102087020874,0.00360773759894073,0.02409222163259983,0.271789014339447,0.18889062106609344,0.4011714458465576,,,,,,,,,,,,
5,839,1.0,1.0,0.9281250238418579,0.8968750238418579,0.840624988079071,0.9331249594688416,0.1838962286710739,0.005197743885219097,0.024623818695545197,0.26432931423187256,0.22768428921699524,0.3976459503173828,,,,,,,,,,,,
